position_x,position_y,task_type,wifi_rssi,wifi_snr,wifi_bandwidth,wifi_latency,wifi_distance,5g_rssi,5g_snr,5g_bandwidth,5g_latency,5g_distance,ble_rssi,ble_snr,ble_bandwidth,ble_latency,ble_distance,optimal_network
990,570,0,-999.0,-999.0,0.0,9999,9999.0,-71.1,28.9,200.0,10,291.547594742265,-999.0,-999.0,0.0,9999,9999.0,1
990,580,1,-999.0,-999.0,0.0,9999,9999.0,-72.4,27.6,200.0,10,290.68883707497264,-999.0,-999.0,0.0,9999,9999.0,1
990,590,1,-999.0,-999.0,0.0,9999,9999.0,-76.5,23.5,200.0,10,498.19674828324605,-999.0,-999.0,0.0,9999,9999.0,1
990,600,0,-999.0,-999.0,0.0,9999,9999.0,-81.4,18.6,200.0,11,290.0,-999.0,-999.0,0.0,9999,9999.0,1
990,610,0,-999.0,-999.0,0.0,9999,9999.0,-75.4,24.6,200.0,10,290.17236257093816,-999.0,-999.0,0.0,9999,9999.0,1
990,620,1,-999.0,-999.0,0.0,9999,9999.0,-74.3,25.7,200.0,10,290.68883707497264,-999.0,-999.0,0.0,9999,9999.0,1
990,630,2,-999.0,-999.0,0.0,9999,9999.0,-76.6,23.4,200.0,10,291.547594742265,-999.0,-999.0,0.0,9999,9999.0,1
990,640,0,-999.0,-999.0,0.0,9999,9999.0,-67.4,32.6,200.0,10,292.7456233660889,-999.0,-999.0,0.0,9999,9999.0,1
990,650,0,-999.0,-999.0,0.0,9999,9999.0,-66.3,33.7,200.0,10,294.27877939124323,-999.0,-999.0,0.0,9999,9999.0,1
990,660,0,-999.0,-999.0,0.0,9999,9999.0,-69.5,30.5,200.0,10,296.1418578992169,-999.0,-999.0,0.0,9999,9999.0,1
990,670,1,-93.1,1.9,13.43,988,206.15528128088303,-76.5,23.5,200.0,10,298.328677803526,-999.0,-999.0,0.0,9999,9999.0,1
990,680,0,-999.0,-999.0,0.0,9999,9999.0,-76.0,24.0,200.0,10,300.83217912982644,-999.0,-999.0,0.0,9999,9999.0,1
990,690,1,-999.0,-999.0,0.0,9999,9999.0,-72.1,27.9,200.0,10,303.6445290137795,-999.0,-999.0,0.0,9999,9999.0,1
990,700,2,-999.0,-999.0,0.0,9999,9999.0,-81.4,18.6,200.0,11,306.75723300355935,-999.0,-999.0,0.0,9999,9999.0,1
990,710,0,-999.0,-999.0,0.0,9999,9999.0,-81.3,18.7,200.0,11,638.9053137985316,-999.0,-999.0,0.0,9999,9999.0,1
990,720,0,-999.0,-999.0,0.0,9999,9999.0,-80.4,19.6,200.0,10,313.8470965295043,-999.0,-999.0,0.0,9999,9999.0,1
990,730,0,-999.0,-999.0,0.0,9999,9999.0,-75.9,24.1,200.0,10,317.80497164141406,-999.0,-999.0,0.0,9999,9999.0,1
990,740,0,-999.0,-999.0,0.0,9999,9999.0,-73.3,26.7,200.0,10,322.02484376209236,-999.0,-999.0,0.0,9999,9999.0,1
990,750,0,-999.0,-999.0,0.0,9999,9999.0,-74.9,25.1,200.0,10,326.49655434629017,-999.0,-999.0,0.0,9999,9999.0,1
990,760,0,-999.0,-999.0,0.0,9999,9999.0,-74.4,25.6,200.0,10,331.2099032335839,-999.0,-999.0,0.0,9999,9999.0,1
990,770,1,-999.0,-999.0,0.0,9999,9999.0,-69.1,30.9,200.0,10,336.1547262794322,-999.0,-999.0,0.0,9999,9999.0,1
990,780,0,-999.0,-999.0,0.0,9999,9999.0,-82.1,17.9,200.0,11,341.32096331752024,-999.0,-999.0,0.0,9999,9999.0,1
990,790,0,-999.0,-999.0,0.0,9999,9999.0,-71.2,28.8,200.0,10,346.69871646719434,-999.0,-999.0,0.0,9999,9999.0,1
